sample_name	group	tsne1	tsne2
JV-015-RAN-IC-M2	2	-39.29905898693735	-25.60115011801754
BS-007-RAN-01-M3	2	-12.245349180616081	-56.557619792263914
BS-007-RAN-02-M3	2	-22.82333139737036	-25.633028597162618
KT-004-SOC-16-M1	2	-6.154765414842456	-60.779067984584124
BS-135-RAN-IC-M3	2	-29.083504088538795	-22.145449135635335
JV-070-DAV-07-M3	2	-25.58070215425616	-29.295337832386004
BS-129-RAT-10-M5	2	-39.6614802053068	-19.19612274843328
JV-036-SOC-10-M2	2	-8.747718119110008	-54.18963816374424
BS-126-RAT-05-M2	2	-48.0663268101952	-31.872238915667943
JV-017-RAN-10-M3	2	-34.584820990924186	-28.202048698763026
JV-070-DAV-04-M1	2	-49.65985636752029	-37.01582048071411
BS-356-RAN-03-M4	2	-15.911196724412505	-13.551131243386022
JV-090-MIN-IC-M4	2	-22.162658900617792	-45.08068223922392
BS-391-RAN-06-M2	2	-20.969340793822788	-52.49940958993078
JV-061-MIN-03-M5	2	-55.23369296946027	-33.55626910517271
JV-070-MIN-01-M1	2	-3.0518082430407225	-52.828150915634076
KT-004-SOC-14-M1	2	-19.995174712862273	-14.359422163965355
JV-089-SOC-04-M1	2	-45.003393781704794	-27.494315720965194
BS-472-RAT-01-M1	2	-17.30126102575217	-50.91426993957558
BS-172-RAT-10-M3	2	-29.688154602361777	-18.144143511895837
BS-082D0	3	21.837204567318167	31.974441126084947
BS-364D0	3	-25.54739839929705	45.038881643690594
KT-313D0	3	29.601335353554305	11.954272988364902
KT-412D0	3	9.51994219145424	35.83317048153407
KT-445D0	3	9.675491446565806	28.456296679522346
KT-537D0	3	15.485650664324076	37.757608661064786
KT-538D0	3	12.791182240853592	45.54861895835028
KT-539D0	3	18.115752918018693	25.973411491787203
KT-663D0	3	7.6722291753096545	46.68442316856997
KT-695D0	3	16.36330415103395	32.783854881642085
KT-723D0	3	25.59131600778712	11.409540844723876
KT-193D0	1	49.48149104733052	36.615416198160815
KT-247D0	1	48.200598368366386	30.001212567141785
KT-312D0	1	53.32021678075713	31.497733397759546
KT-347D0	3	20.020896089210062	40.33711773068569
KT-417D0	1	40.91128987636797	32.12010486947517
KT-522D0	1	54.90519911432633	45.001621652475336
KT-525D0	1	48.30359215692781	43.23789427020199
KT-565D0	1	43.68741072011997	49.8673081352968
KT-705D0	1	45.286890999324086	36.82238715058936
