sample_name	group	tsne1	tsne2
BS-082D0	2	-55.25840842527554	51.517665629521424
BS-364D0	2	-72.4900066587605	39.24314473054686
KT-313D0	2	4.590630467630641	20.478048296700052
KT-412D0	1	-30.06284510274417	-25.706208694727568
KT-445D0	2	1.215742943478898	41.88581191325589
KT-537D0	1	22.323336351895936	-17.694378468395477
KT-538D0	2	-1.093564014420861	53.91479950443041
KT-539D0	1	-46.1103464800607	-72.82549131684968
KT-663D0	2	-16.48042491802693	58.52665032824361
KT-695D0	2	-62.68771148216992	34.406481968500074
KT-723D0	1	25.222416019267772	0.38574036017959024
JV-015-RAN-IC-M2	1	38.603688023928	-35.27185158043328
BS-007-RAN-01-M3	1	76.57130929201966	-24.057445898969327
BS-007-RAN-02-M3	1	-39.96909382605739	-81.07624343321396
KT-004-SOC-16-M1	1	-11.167335066321366	-22.529860910243027
BS-135-RAN-IC-M3	1	66.0731855860907	-31.372947246882347
JV-070-DAV-07-M3	1	27.355283928059965	-27.50077437393542
JV-036-SOC-10-M2	1	56.252722163271905	-41.89806497286052
BS-126-RAT-05-M2	1	39.78550545434037	-3.9540870883705934
JV-070-DAV-04-M1	1	74.68393729244737	-39.50376930422537
BS-356-RAN-03-M4	2	-31.400277641533044	55.45965734885696
BS-391-RAN-06-M2	1	-39.480736283085996	-29.632793447154125
JV-061-MIN-03-M5	1	-1.2123929698410203	-1.6945493160882907
JV-070-MIN-01-M1	2	-53.89564149358858	62.00596501490926
KT-004-SOC-14-M1	1	13.054480086719982	-3.3162648487214765
JV-089-SOC-04-M1	2	15.57654675273481	40.21076580592636
