"sample_name","group","PLSDA1","PLSDA2"
"BS-082D03","ctrl",-1.77524838859284,-0.0884908957807141
"BS-364D03","ctrl",-0.18057759665041,-0.107781705857751
"KT-193D03","exp",2.05718137318248,-0.415780129000381
"KT-247D03","exp",2.95589060303907,1.33991575016381
"KT-312D03","exp",3.25628768695633,-0.024009668967721
"KT-313D03","ctrl",0.0101284631549634,-2.67310610873521
"KT-347D03","exp",2.93167346338678,0.365888251842191
"KT-412D03","ctrl",-0.836275709221027,-0.564961655197515
"KT-417D03","exp",2.74946228214979,0.454156286393004
"KT-445D03","ctrl",-1.42038515492682,-0.468034136024757
"KT-522D03","exp",1.1181843329645,0.801470772968516
"KT-525D03","exp",-0.0193352036008979,1.06436155439458
"KT-537D03","ctrl",-0.779197521332052,-2.44512404497451
"KT-538D03","ctrl",-0.871365210928822,-0.921572994776953
"KT-539D03","ctrl",-1.58343555527501,-1.1726090015775
"KT-565D03","exp",1.01811600622714,0.794793820409018
"KT-663D03","ctrl",-7.39895027870502,1.55016183357673
"KT-695D03","ctrl",-1.5275783264844,0.76486110780814
"KT-705D03","exp",1.12164031050455,0.613692614380238
"KT-723D03","ctrl",-0.826215575848317,1.13216834895678
