sample_name	group	UMAP-1	UMAP-2
JV-015-RAN-IC-M2	2	5.947697353363037	-3.1688821226358415
BS-007-RAN-01-M3	2	4.9725802659988405	-1.6415054708719254
BS-007-RAN-02-M3	2	5.437641930580139	-3.759480705857277
KT-004-SOC-16-M1	2	5.369080376625061	-1.766532650589943
BS-135-RAN-IC-M3	2	5.665607523918152	-3.7224357038736344
JV-070-DAV-07-M3	2	5.063809704780579	-3.1196854025125504
BS-129-RAT-10-M5	2	5.4005354166030886	-3.216462841629982
JV-036-SOC-10-M2	2	5.082546067237854	-2.0895342737436295
BS-126-RAT-05-M2	2	6.35591824054718	-2.8033053785562516
JV-017-RAN-10-M3	2	5.429640126228333	-3.25860952436924
JV-070-DAV-04-M1	2	6.173828196525574	-2.3989913374185563
BS-356-RAN-03-M4	2	5.474302124977112	-2.4564847856760026
JV-090-MIN-IC-M4	2	5.165148329734802	-3.461229553818703
BS-391-RAN-06-M2	2	4.7581496953964235	-2.2711813360452653
JV-061-MIN-03-M5	2	5.977570843696594	-1.9310283571481706
JV-070-MIN-01-M1	2	5.359856677055359	-2.3252491861581803
KT-004-SOC-14-M1	2	5.714233708381653	-2.7164714246988297
JV-089-SOC-04-M1	2	6.150647830963135	-2.5334918409585954
BS-472-RAT-01-M1	2	4.878734660148621	-1.9209194093942643
BS-172-RAT-10-M3	2	5.84765465259552	-3.542688122391701
BS-082D03	1	-5.364832091331482	2.076825866103172
BS-364D03	1	-5.826940703392029	2.6286785691976546
KT-193D03	3	-5.479035544395447	3.3312755912542342
KT-247D03	3	-6.150104689598083	3.913415440917015
KT-312D03	3	-5.886591124534607	3.2162244409322738
KT-313D03	1	-5.323720145225525	2.359396347403526
KT-347D03	3	-6.166350531578064	2.838161715865135
KT-412D03	3	-6.8503333806991575	3.6280932515859603
KT-417D03	1	-6.13821427822113	2.307375618815422
KT-445D03	1	-5.670272040367126	2.870659479498863
KT-522D03	3	-5.735635924339294	3.575996407866478
KT-525D03	3	-6.6652395009994505	3.329320678114891
KT-537D03	1	-5.503518271446228	2.2250745385885238
KT-538D03	3	-6.155677008628845	3.591386565566063
KT-539D03	3	-6.692307639122009	2.8315291494131087
KT-565D03	1	-5.580158400535583	2.2951747864484786
KT-663D03	2	4.687683176994324	-3.0186893850564958
KT-695D03	3	-6.502574133872986	3.745742091536522
KT-705D03	3	-6.343166518211365	3.1078380435705184
KT-723D03	3	-6.878194975852966	3.2506902307271957
