sample_name	group	tsne1	tsne2
JV-015-RAN-IC-M2	1	52.40605452475917	84.29940394637154
BS-007-RAN-01-M3	1	29.408019127362248	-2.1860545871182797
BS-007-RAN-02-M3	1	64.5093883310816	52.737968992440855
KT-004-SOC-16-M1	1	24.492562821833726	13.172778898175702
BS-135-RAN-IC-M3	1	56.73445398806133	64.0240820785637
JV-070-DAV-07-M3	1	67.9994791327233	63.747993341659644
BS-129-RAT-10-M5	1	54.173231514580245	96.11024449070997
JV-036-SOC-10-M2	1	20.60735752755652	-1.0839032310529513
BS-126-RAT-05-M2	1	63.87865111984651	23.191285669276485
JV-017-RAN-10-M3	1	61.699525443858455	87.40565734484142
JV-070-DAV-04-M1	1	73.21953947392063	17.169222899264977
BS-356-RAN-03-M4	1	174.6534106666735	86.87162516420305
JV-090-MIN-IC-M4	1	79.3290144897898	68.47712042687235
BS-391-RAN-06-M2	1	35.748085792211775	-15.555996348860758
JV-061-MIN-03-M5	1	57.95596845069399	13.418223383398724
JV-070-MIN-01-M1	1	12.614730466840083	7.486810457616303
KT-004-SOC-14-M1	3	-24.572368530079473	34.56241871615461
JV-089-SOC-04-M1	1	42.50387046391166	77.27667422401284
BS-472-RAT-01-M1	1	27.706163057455242	-15.604670134989366
BS-172-RAT-10-M3	1	51.05306323205965	57.01367941624418
BS-082D03	2	-21.02536551577021	-97.80289175170587
BS-364D03	2	-36.185911167339405	-75.25439905919352
KT-193D03	3	-36.80166534459719	-33.09367150240425
KT-247D03	3	-72.91873430344519	-28.190542422900048
KT-312D03	3	-90.34359127734307	-4.448196265449294
KT-313D03	2	-37.292442094100764	-102.36443684275933
KT-347D03	3	-63.15847716593928	-34.45037634786664
KT-412D03	3	-57.20318420560101	-25.243232991037612
KT-417D03	2	-48.97902292397666	-64.34262041890676
KT-445D03	3	-72.16686728041246	-48.429617744775314
KT-522D03	3	-26.355369706050265	-26.142503198016946
KT-525D03	3	-62.56496850884648	-7.109021520791296
KT-537D03	2	-30.003739246495947	-93.88442472873737
KT-538D03	3	-56.87354165626619	-14.394871675747321
KT-539D03	3	-60.25868730032935	3.8146370701613384
KT-565D03	2	-35.2708492536663	-85.4317043940057
KT-663D03	3	-38.33644073724985	-2.754234180927266
KT-695D03	3	-47.2129839277609	-24.301510538708893
KT-705D03	3	-55.089160147785485	-43.556875107989846
KT-723D03	3	-78.07919933216417	-5.1540715260229835
