"sample_name","group","PLSDA1","PLSDA2"
"KT-539_D0_D60","ctrl","-0.35722","0.87841"
"BS-671_D0_D60","ctrl","3.16812","-1.11352"
"BS-064_D0_D60","exp","-2.42739","-0.16731"
"KT-805_D0_D60","ctrl","-2.82205","1.83481"
"KT-926_D0_D60","exp","-5.65188","-0.47759"
"KT-705_D0_D60","exp","-0.15726","-0.86758"
"BS-336_D0_D60","ctrl","2.14726","-1.25018"
"BS-082_D0_D60","ctrl","0.73744","-0.25283"
"BS-351_D0_D60","ctrl","-2.07966","2.11691"
"KT-347_D0_D60","exp","-1.13425","-0.06069"
"BS-377_D0_D60","ctrl","3.72227","0.04658"
"KT-313_D0_D60","ctrl","3.58605","-0.00611"
"BS-364_D0_D60","ctrl","1.26317","1.33347"
"KT-880_D0_D60","ctrl","1.60995","1.48998"
"JV-138_D0_D60","ctrl","2.204","-0.43815"
"KT-412_D0_D60","ctrl","11.16367","-1.55782"
"KT-515_D0_D60","exp","3.19734","-1.18028"
"KT-771_D0_D60","ctrl","1.83098","1.27715"
"KT-723_D0_D60","ctrl","3.71761","0.79626"
"KT-718_D0_D60","exp","-8.45793","-0.91323"
"KT-417_D0_D60","exp","-4.22988","1.7785"
"KT-522_D0_D60","exp","-3.45981","-2.02614"
"KT-312_D0_D60","exp","-3.52665","-0.70014"
"JV-157_D0_D60","exp","-6.2416","-1.50978"
"KT-538_D0_D60","ctrl","2.34926","1.79845"
"KT-193_D0_D60","exp","-6.77571","0.33337"
"JV-035_D0_D60","exp","-7.66367","0.20769"
"KT-434_D0_D60","exp","0.95603","-0.06075"
"KT-247_D0_D60","exp","-3.06355","-0.91"
"KT-716_D0_D60","ctrl","1.33078","1.26063"
"KT-974_D0_D60","ctrl","0.77624","2.11916"
"KT-537_D0_D60","ctrl","1.84274","0.26125"
"KT-612_D0_D60","exp","3.08958","-0.64124"
"KT-445_D0_D60","ctrl","6.54896","0.48227"
"KT-525_D0_D60","exp","-6.42985","0.30767"
"KT-352_D0_D60","exp","-1.3605","-2.60933"
"JV-148_D0_D60","exp","-2.26407","-0.85412"
"BS-346_D0_D60","ctrl","4.3009","0.69998"
"KT-663_D0_D60","ctrl","5.09471","-1.95515"
"KT-695_D0_D60","ctrl","3.46589","0.52938"
